ShopID,District,Latitude,Longitude
SHOP_001,South Delhi,28.563667,77.196744
SHOP_002,West Delhi,28.648957,77.10634
SHOP_003,South Delhi,28.506364,77.204896
SHOP_004,Rohini,28.709316,77.129745
SHOP_005,East Delhi,28.599771,77.274279
SHOP_006,Central Delhi,28.6356,77.229758
SHOP_007,South Delhi,28.520513,77.217525
SHOP_008,West Delhi,28.666336,77.103257
SHOP_009,West Delhi,28.633713,77.107844
SHOP_010,Dwarka,28.581134,77.064005
SHOP_011,North Delhi,28.732554,77.205993
SHOP_012,East Delhi,28.618685,77.319017
SHOP_013,North Delhi,28.689861,77.183213
SHOP_014,Rohini,28.708352,77.106686
SHOP_015,West Delhi,28.630112,77.110956
SHOP_016,West Delhi,28.644796,77.107779
SHOP_017,Rohini,28.722696,77.129286
SHOP_018,Central Delhi,28.610429,77.188088
SHOP_019,Central Delhi,28.631679,77.201199
SHOP_020,Rohini,28.736478,77.119912
SHOP_021,West Delhi,28.654216,77.114329
SHOP_022,North Delhi,28.696907,77.177649
SHOP_023,East Delhi,28.592266,77.310411
SHOP_024,South Delhi,28.505958,77.198023
SHOP_025,Central Delhi,28.624929,77.222474
SHOP_026,East Delhi,28.645158,77.323228
SHOP_027,Dwarka,28.603311,77.025358
SHOP_028,Central Delhi,28.644078,77.187159
SHOP_029,Dwarka,28.583723,77.064561
SHOP_030,West Delhi,28.656014,77.071143
SHOP_031,North Delhi,28.727982,77.18544
SHOP_032,Rohini,28.708017,77.126743
SHOP_033,North Delhi,28.731131,77.204781
SHOP_034,Dwarka,28.586699,77.035213
SHOP_035,Rohini,28.715607,77.125559
SHOP_036,Rohini,28.73997,77.11894
SHOP_037,North Delhi,28.707215,77.215419
SHOP_038,North Delhi,28.737713,77.199062
SHOP_039,Rohini,28.707365,77.109479
SHOP_040,West Delhi,28.673266,77.089259
SHOP_041,West Delhi,28.676266,77.100986
SHOP_042,Dwarka,28.598757,77.020815
SHOP_043,Dwarka,28.561519,77.048283
SHOP_044,Central Delhi,28.615898,77.224361
SHOP_045,Central Delhi,28.633767,77.205731
SHOP_046,East Delhi,28.634402,77.315239
SHOP_047,Rohini,28.715937,77.10426
SHOP_048,Dwarka,28.596532,77.044874
SHOP_049,South Delhi,28.514677,77.242533
SHOP_050,South Delhi,28.560938,77.180795
